Vest_ID,Age,Income,Balance,Contributions,Strategy
1,40,76310.75,25732.1,0.08,0
2,45,55724.44,142464.22,0.06,2
3,43,125688.64,309140.24,0.03,0
4,43,99613.31,915660.22,0.02,0
5,54,132207.36,254389.06,0.01,1
6,25,52327.21,101437.64,0.07,0
7,43,105751.17,239484.13,0.08,1
8,64,31632.12,399770.09,0.1,2
9,52,125265.38,272452.98,0.07,0
10,64,55273.91,843957.12,0.03,0
11,50,63420.99,639144.86,0.03,1
12,63,145117.22,383185.27,0.04,1
13,60,75885.81,88802.1,0.04,1
14,34,129377.62,320804.75,0.08,2
15,35,70546.97,263090.75,0.09,1
16,44,62747.2,983451.84,0.02,1
17,24,108694.97,917895.8,0.07,1
18,51,27727.1,115274.51,0.09,1
19,36,127355.48,634963.09,0.04,1
20,28,107237.91,304371.6,0.02,0
21,59,68335.5,475688.15,0.03,2
22,64,126373.56,6791.17,0.04,2
23,46,59342.67,198483.21,0.09,0
24,28,38854.68,164465.8,0.08,2
25,59,101053.48,897802.3,0.08,2
26,25,72246.75,493471.16,0.01,0
27,57,99956.71,491377.38,0.07,1
28,59,26188.66,781420.95,0.02,0
29,54,149476.07,464749.67,0.02,0
30,41,48856.99,929327.99,0.09,1
31,24,52354.82,423938.35,0.02,0
32,36,123796.13,34287.99,0.06,0
33,55,73132.54,844284.26,0.1,0
34,41,40687.87,203128.06,0.05,2
35,52,63171.31,722609.45,0.02,0
36,46,101288.01,696853.39,0.01,1
37,37,77639.46,86464.94,0.08,0
38,42,64677.2,63407.23,0.01,2
39,41,77468.22,902187.76,0.05,2
40,47,99219.94,807270.69,0.03,1
41,26,124052.4,823181.16,0.07,1
42,47,76863.48,990850.95,0.02,2
43,64,25212.34,545466.58,0.08,2
44,32,83107.44,648740.29,0.09,0
45,47,116117.47,508236.58,0.05,1
46,30,82514.37,579555.08,0.01,2
47,59,109018.05,412668.55,0.05,2
48,33,125293.6,435411.93,0.04,1
49,58,87838.79,650209.94,0.02,0
50,24,54346.95,822945.91,0.09,0
51,52,105955.2,231504.02,0.03,1
52,41,28998.97,609471.49,0.08,1
53,60,69769.09,833061.88,0.1,0
54,32,47579.92,991500.27,0.02,1
55,36,41080.12,923624.29,0.09,2
56,44,44304.87,307775.57,0.09,2
57,61,31222.04,723924.04,0.09,1
58,38,130494.22,205641.59,0.08,1
59,57,43690.18,356201.97,0.09,2
60,38,51943.74,967267.05,0.1,1
61,24,25513.76,948119.24,0.02,2
62,58,41568.44,468972.51,0.08,2
63,26,117520.76,966390.91,0.06,0
64,45,87825.55,591783.28,0.05,2
65,50,64626.6,644957.62,0.09,2
66,43,129146.5,904888.66,0.07,0
67,24,98858.67,75740.14,0.02,2
68,50,45773.83,604994.66,0.09,0
69,63,91043.41,823400.05,0.02,2
70,56,85009.04,104949.37,0.08,1
71,49,57999.03,421682.8,0.06,0
72,33,88094.96,277289.63,0.04,0
73,56,75796.28,137147.5,0.05,1
74,32,102389.95,527476.16,0.04,0
75,48,87261,418642.97,0.03,0
76,47,96583.05,847183.15,0.04,1
77,43,125096.07,320060.1,0.03,0
78,33,93408.05,580559.8,0.05,1
79,64,66845.24,220178.55,0.07,2
80,45,69396.26,801564.61,0.02,0
81,44,112299.14,383018.63,0.07,0
82,38,39028.62,354055.36,0.09,1
83,48,50000.03,624437.78,0.07,1
84,36,85864.27,279120.31,0.04,2
85,50,69866.83,368595.39,0.04,2
86,49,85886.87,509586.74,0.02,0
87,30,67074.35,16262.66,0.1,0
88,33,131085,264449.18,0.01,1
89,64,33129.13,146629.01,0.02,2
90,48,131578.76,726709.11,0.03,1
91,50,125506.45,239727.81,0.06,2
92,34,92729.86,306671.05,0.08,0
93,24,123975.78,819689.23,0.01,2
94,44,133151.56,253432.83,0.02,1
95,25,109616.08,590119.32,0.08,0
96,44,33178.01,83078.1,0.05,0
97,46,143073.75,99679.96,0.06,1
98,38,131138.04,966375.67,0.01,0
99,24,94120.67,788517.17,0.1,2
100,58,142793.04,543810.28,0.05,1
101,40,102836.43,40041.52,0.03,1
102,58,132782.58,750967.83,0.04,1
103,46,92140.86,357546.39,0.01,1
104,53,50496.67,693746.74,0.09,0
105,34,63371.49,299164.73,0.06,2
106,38,110212.61,892323.52,0.06,2
107,63,135499.03,216881.31,0.05,1
108,43,134634.32,555857.45,0.02,0
109,29,54779.69,883982.02,0.08,1
110,44,140527.76,179605.42,0.1,0
111,26,86102.84,496754.95,0.09,0
112,55,42266.29,129947.95,0.09,2
113,54,91359.11,284128.47,0.04,0
114,45,65406.44,855390.34,0.06,1
115,40,127324.75,813414.98,0.07,2
116,51,106992.78,648999.86,0.01,0
117,61,118015.24,242381.23,0.05,0
118,35,26785.04,550153.6,0.07,1
119,51,136689.26,99111.9,0.04,0
120,29,54984.9,345148.19,0.01,0
121,40,93731.12,430842.95,0.09,2
122,53,85631.32,337121.49,0.07,2
123,31,26756.35,454126.11,0.03,2
124,63,136060.15,493458.68,0.03,1
125,56,112803.99,624545.67,0.05,2
126,51,88370.02,430325.17,0.01,2
127,59,25871.99,128978.93,0.07,1
128,40,66049.33,381608.11,0.07,1
129,63,40904.36,541976.43,0.03,2
130,52,33247.51,140718.64,0.09,1
131,64,96756.52,807344.98,0.08,0
132,60,90803.99,949576.01,0.05,1
133,41,129401.8,558847.19,0.1,1
134,34,52070.19,172137.8,0.02,0
135,43,118125.1,449075.42,0.08,1
136,63,39501.26,799987.92,0.06,1
137,59,44554.98,307991.48,0.02,2
138,35,38847.2,487140.87,0.01,1
139,25,41213.44,411406.06,0.08,1
140,27,72098.58,573078.26,0.01,1
141,63,117488.01,326712.94,0.02,0
142,27,91396.87,260701,0.05,1
143,56,92973.43,933942.27,0.07,0
144,36,76392.09,929507.91,0.02,2
145,59,78692.95,274511.26,0.1,2
146,58,148592.22,598953.02,0.06,0
147,31,65198.56,144617.86,0.01,1
148,40,112098.09,491597.14,0.07,2
149,32,111365.94,766162.13,0.07,0
150,54,39337.83,46929.14,0.09,2
151,60,80394.33,138281.31,0.08,1
152,36,95880.8,829611.54,0.07,1
153,28,43834.71,616430.06,0.09,2
154,53,60416.26,679805.34,0.02,1
155,28,138336,134810.26,0.06,2
156,51,41080.61,114636.23,0.01,1
157,38,143919.56,231663.44,0.01,2
158,55,124007.14,890188.41,0.03,2
159,41,115149.47,53407.42,0.05,2
160,25,26046.66,723935.97,0.03,0
161,40,137720.85,986924.42,0.1,1
162,50,117008.89,602706.59,0.02,1
163,28,28835.56,513951.55,0.07,2
164,49,80016.08,480867.13,0.07,2
165,31,149358.33,886018.9,0.01,0
166,61,89038.44,569136.31,0.07,1
167,29,142274.38,955697.26,0.02,0
168,61,40466.1,371917.31,0.06,2
169,59,117529.77,556769.78,0.1,0
170,34,135925.76,734282.08,0.07,0
171,43,84957.96,853737.62,0.06,1
172,31,50444.48,898881.81,0.07,2
173,44,140721.45,283397,0.04,0
174,24,31315.44,30462,0.07,1
175,51,67750.61,770354.9,0.09,0
176,55,85755.37,379196.47,0.1,0
177,60,89897.49,848702.77,0.08,0
178,56,42510.86,106895.39,0.08,0
179,47,48917.2,270438.52,0.06,2
180,62,47690.51,386217,0.06,1
181,61,99879.34,17363.51,0.08,1
182,43,60888.36,541933.69,0.08,0
183,46,44591.1,760792.47,0.06,1
184,34,49924.41,16046.31,0.07,0
185,41,44919.6,49145.6,0.04,2
186,55,25121.52,977601.98,0.03,0
187,64,54246.3,932778.49,0.08,2
188,24,88606.16,203520.51,0.02,1
189,57,41604.17,876152.24,0.05,2
190,51,117020.72,341895.47,0.05,1
191,49,117651.84,920601.7,0.07,2
192,31,124483.84,861215.05,0.03,0
193,54,88055.75,99790.94,0.09,0
194,47,93623.51,500097.97,0.02,1
195,53,99985.99,143790.44,0.09,1
196,57,65590.14,144306.67,0.04,1
197,51,131713.44,984557.63,0.09,1
198,32,63727.34,96756.39,0.08,2
199,26,95840.97,74921.17,0.05,1
200,25,112852.93,526360.14,0.02,1
201,34,52288.01,375910.27,0.01,1
202,24,82322.02,848421,0.07,2
203,46,129405.26,114675.23,0.01,2
204,37,89075.24,859073.47,0.07,0
205,53,40800.85,589686.77,0.02,0
206,41,99748.42,312426.05,0.06,0
207,58,41116.18,43212.7,0.04,2
208,44,135364.7,315655.07,0.01,0
209,33,70838.08,821657.68,0.02,1
210,61,144394.01,650797.03,0.03,2
211,24,64760.01,479622.76,0.04,2
212,55,91213.38,170320.7,0.06,1
213,59,86120.52,703136.97,0.06,0
214,29,42355.86,923398.07,0.08,1
215,60,136478.69,786936.24,0.04,0
216,38,68095.04,85947.57,0.01,1
217,27,109362.82,846722.71,0.03,2
218,55,128829.78,511801.86,0.06,2
219,28,78473.22,288254.59,0.03,2
220,26,69403.55,978622.28,0.02,2
221,55,135725.64,349554.99,0.04,0
222,41,43893.24,780280.47,0.03,1
223,32,54471.48,585136.24,0.09,0
224,31,135950.83,364843.28,0.01,2
225,55,100047.45,107788.79,0.07,2
226,26,92535.77,747228.54,0.07,1
227,51,148510.47,401259.76,0.07,0
228,38,74019.22,877982.37,0.04,0
229,48,33088.51,733671.97,0.04,2
230,48,112895.68,657630.05,0.05,0
231,31,125804.13,993737.56,0.09,1
232,26,84035.72,681552.61,0.03,0
233,27,134459.63,508471.64,0.04,2
234,25,104233.18,222070.69,0.05,0
235,36,58517.24,83786.95,0.07,1
236,39,114611.8,949093.8,0.1,0
237,36,33966.63,953058.68,0.06,2
238,32,117152.13,628663.09,0.02,1
239,43,71003.91,407923.09,0.09,1
240,50,41213.56,30977.52,0.04,1
241,55,44900.79,703112.62,0.1,0
242,49,48805.5,924738.8,0.01,0
243,55,137001.46,437528.39,0.04,2
244,24,106693.8,319585.57,0.05,0
245,32,131442.16,391979.07,0.03,1
246,39,146650.12,856437.35,0.04,2
247,52,37253.36,867767.95,0.06,0
248,46,68482.07,840070.77,0.04,1
249,55,131945.52,263832.27,0.01,0
250,31,119719.99,153758.74,0.03,0
251,46,25220.76,21919.69,0.04,0
252,36,70043.06,241958.54,0.09,1
253,52,60659.36,63160.64,0.09,0
254,46,96694.35,520377.84,0.02,2
255,33,53355.37,697530.09,0.01,2
256,28,31476.69,756759.96,0.07,1
257,46,66135.16,292653.01,0.08,2
258,32,36570.68,177083.75,0.09,0
259,32,77009.32,649685.87,0.04,2
260,45,35184.43,534998,0.09,1
261,25,45185.54,844209.12,0.07,1
262,24,95936.47,352730.95,0.04,2
263,52,113288.98,719792.61,0.09,1
264,61,53296.41,952551.16,0.1,2
265,33,148113.71,407108.36,0.05,0
266,61,85716.99,241292.91,0.1,0
267,60,132022.02,904033.12,0.02,0
268,61,52168.67,326608.76,0.05,2
